Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,infra_tipo,infra_descripcion,infra_interes,infra_senalizacion_externa,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,85293,4,false,false,,OJGIM0166,Mampara de cierre de entrada a la cueva.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,66,,false,false,POINT (-3.664150974555013 43.034525103827328)
,,,,,,-1,-1,-1,,,85294,4,false,false,,OJGIM0167,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Pico Angel,false,false,POINT (-3.653394155451172 43.066572328517985)
,,,,,,-1,-1,-1,,,85295,4,false,false,,OJGIM0168,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Pico Angel,false,false,POINT (-3.653492020961206 43.06653575029712)
,,,,,,-1,-1,-1,,,85296,4,false,false,,OJGIM0169,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,3,29,Equipamiento del área recreativa Pico Angel,false,false,POINT (-3.653465832893048 43.066382817445742)
,,,,,,-1,-1,-1,,,85208,4,false,false,,OJGIM0081,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665231138923862 43.034518830126181)
,,,,,,-1,-1,-1,,,85217,4,true,false,,OJGIM0090,Fuente incluyendo cartel informativo de agua potable.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,7,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665600641825766 43.034633745312391)
,,,,,,-1,-1,-1,,,85209,4,false,false,,OJGIM0082,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665304883756062 43.034527406332316)
,,,,,,-1,-1,-1,,,85210,4,false,false,,OJGIM0083,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665366743145402 43.034572071174033)
,,,,,,-1,-1,-1,,,85211,4,false,false,,OJGIM0084,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665391097778156 43.034553919783257)
,,,,,,-1,-1,-1,,,85212,4,false,false,,OJGIM0085,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665329530223137 43.03453626794348)
